"iter" "lambda_hat" "median.lambda" "median.gamma" "median.omega1" "median.omega2" "median.p_det" "median.p_rec" "median.p_mor" "mean.lambda" "mean.gamma" "mean.omega1" "mean.omega2" "mean.p_det" "mean.p_rec" "mean.p_mor" "lambda" "gamma" "omega1" "omega2" "p_det" "p_rec" "p_mor"
29 41.6435951508718 43.3335447101394 2.67958819945669 0.219429980390691 0.69059075914888 0.766908040505849 0.411384960905007 0.088607041363464 43.9023758125754 2.87287710742454 0.221933530145543 0.685177530903793 0.768425489779792 0.411559548941773 0.0886561579510215 50 5 0.25 0.5 0.7 0.4 0.1
30 44.0583721655321 45.9207331957551 5.57784773053676 0.126487625401728 0.694891483047492 0.768351606260252 0.429417431594939 0.0939363250638713 47.1841476485577 5.50207657245719 0.143621781615677 0.689939273448165 0.76035491901827 0.429285455033586 0.093156720068706 50 5 0.25 0.5 0.7 0.4 0.1
31 50.7743888966039 55.8401635990102 5.72630156497853 0.320230454097852 0.410821268403282 0.676665044840878 0.429854844768285 0.0908857102150209 56.3923414047142 5.82060094347894 0.315267854659897 0.408376580079658 0.679476420095477 0.429796847117601 0.0910635460323882 50 5 0.25 0.5 0.7 0.4 0.1
32 47.6017780449477 49.2737112112791 3.1779873051096 0.330018526668492 0.555868294363761 0.733129729895871 0.411506868826266 0.103705157964078 49.7925318005595 3.4016813746667 0.32902123027152 0.546090304705722 0.735266652580739 0.41144615369717 0.103998355077681 50 5 0.25 0.5 0.7 0.4 0.1
33 49.3509415602009 52.0769027634027 2.96635042078425 0.391698497113529 0.451180738874257 0.726712383659939 0.410797692307531 0.0989073164704209 52.5642947083594 3.42174274822618 0.387072166848906 0.443947713016646 0.729469364958018 0.410856237878663 0.0989171350735447 50 5 0.25 0.5 0.7 0.4 0.1
34 41.5913434263486 43.6646971498392 4.41316331068834 0.1871385191266 0.531158421908178 0.853147959385782 0.403465859050851 0.10560049050138 44.6232603204166 4.56202532031436 0.19422055846751 0.528389410837916 0.841521266606337 0.40329258304217 0.105005866930813 50 5 0.25 0.5 0.7 0.4 0.1
35 54.8032949361613 56.3177285666199 8.011651221129 0.179752017570484 0.285029959693983 0.740040185223614 0.395172505696126 0.0957475682368523 56.8251137960803 8.03215077258784 0.19062078731916 0.283273581630868 0.739006660953092 0.39524871372931 0.0959071628029259 50 5 0.25 0.5 0.7 0.4 0.1
36 48.2319100962126 49.913208713186 4.87297592104855 0.13048815926517 0.59387771743631 0.844596863552185 0.396331929967494 0.103206407305393 50.322299918423 4.77933254574386 0.14287236349654 0.590330675773133 0.839693056302579 0.3963787753581 0.103113369674978 50 5 0.25 0.5 0.7 0.4 0.1
37 48.1669028472029 49.2942194783115 4.69591035822692 0.139753434124783 0.5688442695697 0.780274868312768 0.396344051236689 0.105950204394614 49.6701717772703 4.7385277248175 0.154752734804221 0.568577743716821 0.778542895293872 0.396423281623223 0.105857329118918 50 5 0.25 0.5 0.7 0.4 0.1
38 40.0927072061089 44.2881788458581 4.5990845727355 0.270185477059413 0.451791184550384 0.693430866909416 0.404997488760563 0.0994290168612996 44.9637409286456 4.69602465777108 0.279133560635767 0.43338002823416 0.698381375347327 0.405277486000979 0.100032665412561 50 5 0.25 0.5 0.7 0.4 0.1
39 52.0423648553092 53.7328297648462 5.81017393163654 0.108722610534741 0.49808943138268 0.760592374404497 0.401208152623723 0.0992490014363447 54.4314592723569 5.83807384600877 0.123230867236582 0.495509584455503 0.758997023094932 0.40155128198295 0.0989768171315517 50 5 0.25 0.5 0.7 0.4 0.1
40 42.8524263764202 44.4741792525432 9.80422178862629 0.137275318066852 0.433589147539429 0.782765302078592 0.428279821278876 0.095888574930404 45.2451507686708 9.61235002347679 0.152097621726146 0.437077431291679 0.781752699502533 0.428306475458783 0.0956085510245129 50 5 0.25 0.5 0.7 0.4 0.1
41 39.5189802667444 42.4490039089497 9.18095237424917 0.108144661400691 0.375156292295879 0.735884623693029 0.419035369380785 0.0790337297048461 43.3528473291131 9.03723398212356 0.132035466477563 0.37650719356737 0.733824602868201 0.419019019730465 0.0788275788664853 50 5 0.25 0.5 0.7 0.4 0.1
42 52.6995336305619 53.6105435324891 6.33788471503766 0.162512868516895 0.538542648500436 0.727685154142055 0.408662431473161 0.0959138418708738 54.254928002031 6.38739921722249 0.177470304296651 0.531578448957328 0.730556749702862 0.408557841415996 0.0960486950675309 50 5 0.25 0.5 0.7 0.4 0.1
43 38.5250429850087 40.0343367230276 4.51076062063664 0.175027192820784 0.679804660051113 0.78704778266396 0.401418385967495 0.105654293853123 40.8357538472471 4.51734080471472 0.185644668551693 0.671070449536567 0.778714251186532 0.401436838773614 0.104920747185106 50 5 0.25 0.5 0.7 0.4 0.1
44 34.0369188013303 36.1122010442664 6.08271987760758 0.159705279170908 0.504162255146072 0.833009425521601 0.397072614908071 0.106772657298556 36.8164845266023 5.8963119607296 0.175759371210432 0.504558861648147 0.822636154683474 0.396982951906517 0.105764903403921 50 5 0.25 0.5 0.7 0.4 0.1
45 38.9326542823238 43.2909204111715 3.79334216526681 0.249072071924725 0.568468595217017 0.75762827664326 0.386080886564414 0.117175916207808 43.9266469195462 3.87494801093389 0.250635409906385 0.559707112163821 0.757718695110741 0.386087330211204 0.117086806179954 50 5 0.25 0.5 0.7 0.4 0.1
46 42.9773933658596 44.6217892308267 3.96298426516249 0.302702451475253 0.511072410096987 0.684299836402777 0.417820205962746 0.0951081717313713 45.209322811597 4.18041109906247 0.300218482548401 0.506244509972688 0.686407380477249 0.418049706460706 0.095211452024886 50 5 0.25 0.5 0.7 0.4 0.1
47 54.9145082091546 55.26645658759 8.5742437304722 0.245620515041053 0.288531349505303 0.670578395430566 0.398330704544399 0.0909394211588828 55.6288886674697 8.4710717580771 0.250774554323235 0.291185202466484 0.673774585380551 0.398301746627377 0.0911810033590681 50 5 0.25 0.5 0.7 0.4 0.1
48 40.2391969891108 41.8684088946019 7.76717433261367 0.0811425139196802 0.500133948108958 0.892244538007507 0.423526139364129 0.120687198810739 42.1701335169043 7.67861538543696 0.0993280388657412 0.499315880416724 0.882224364706053 0.423080584265939 0.120045416557459 50 5 0.25 0.5 0.7 0.4 0.1
49 38.8922702095368 40.9607554540623 7.32470847791153 0.102809167651561 0.460625546853127 0.816283179519966 0.38685756691821 0.112653063764267 41.4018269021269 7.40707999570646 0.121128581465934 0.456921758617744 0.809929578044428 0.387017238478815 0.112157330765975 50 5 0.25 0.5 0.7 0.4 0.1
50 45.9915086072591 50.3716258140951 5.08618520109207 0.361117743085378 0.346854827502511 0.647351052223939 0.43127917072113 0.0826730950602436 50.5889172106679 5.42453215480456 0.350876839940474 0.350181594501539 0.652294323636623 0.431018955456414 0.0830027350275412 50 5 0.25 0.5 0.7 0.4 0.1
