Date,HA,Total Tests,New Tests,BC_Phase1,BC_Phase2,BC_Phase3a,BC_Phase3b
2020-08-13,Interior,43261,3161,0,0,1,0
2020-08-13,Vancouver Island,43652,2359,0,0,1,0
2020-08-13,Northern,11952,647,0,0,1,0
2020-08-13,Vancouver Coastal,92005,6956,0,0,1,0
2020-08-20,Fraser,120157,9502,0,0,1,0
2020-08-20,Interior,46543,3282,0,0,1,0
2020-08-20,Vancouver Island,46592,2940,0,0,1,0
2020-08-20,Northern,12837,885,0,0,1,0
2020-08-20,Vancouver Coastal,100743,8738,0,0,1,0
2020-08-27,Fraser,130536,10379,0,0,1,0
2020-08-27,Interior,49828,3285,0,0,1,0
2020-08-27,Vancouver Island,49720,3128,0,0,1,0
2020-08-27,Northern,13691,854,0,0,1,0
2020-08-27,Vancouver Coastal,110774,10031,0,0,1,0
2020-09-03,Fraser,142316,11780,0,0,1,0
2020-09-03,Interior,53171,3343,0,0,1,0
2020-09-03,Vancouver Island,52939,3219,0,0,1,0
2020-09-03,Northern,15022,1331,0,0,1,0
2020-09-03,Vancouver Coastal,123993,13219,0,0,1,0
2020-09-10,Fraser,155152,12836,0,0,0,1
2020-09-10,Interior,56123,2952,0,0,0,1
2020-09-10,Vancouver Island,56346,3407,0,0,0,1
2020-09-10,Northern,16239,1217,0,0,0,1
2020-09-10,Vancouver Coastal,138042,14049,0,0,0,1
2020-09-17,Fraser,170729,15577,0,0,0,1
2020-09-17,Interior,58897,2774,0,0,0,1
2020-09-17,Vancouver Island,59992,3646,0,0,0,1
2020-09-17,Northern,17679,1440,0,0,0,1
2020-09-17,Vancouver Coastal,155053,17011,0,0,0,1
2020-09-24,Fraser,188212,17483,0,0,0,1
2020-09-24,Interior,64004,5107,0,0,0,1
2020-09-24,Vancouver Island,64032,4040,0,0,0,1
2020-09-24,Northern,19641,1962,0,0,0,1
2020-09-24,Vancouver Coastal,172434,17381,0,0,0,1
2020-10-01,Fraser,212086,23874,0,0,0,1
2020-10-01,Interior,70008,6004,0,0,0,1
2020-10-01,Vancouver Island,69904,5872,0,0,0,1
2020-10-01,Northern,22536,2895,0,0,0,1
2020-10-01,Vancouver Coastal,192483,20049,0,0,0,1
2020-10-08,Fraser,242333,30247,0,0,0,1
2020-10-08,Interior,76404,6396,0,0,0,1
2020-10-08,Vancouver Island,76901,6997,0,0,0,1
2020-10-08,Northern,24853,2317,0,0,0,1
2020-10-08,Vancouver Coastal,218118,25635,0,0,0,1
2020-10-15,Fraser,270047,27714,0,0,0,1
2020-10-15,Interior,82547,6143,0,0,0,1
2020-10-15,Vancouver Island,84547,7646,0,0,0,1
2020-10-15,Northern,26285,1432,0,0,0,1
2020-10-15,Vancouver Coastal,239666,21548,0,0,0,1
2020-10-23,Fraser,302738,32691,0,0,0,1
2020-10-23,Interior,88471,5924,0,0,0,1
2020-10-23,Vancouver Island,93077,8530,0,0,0,1
2020-10-23,Northern,28067,1782,0,0,0,1
2020-10-23,Vancouver Coastal,263680,24014,0,0,0,1
2020-10-30,Fraser,331313,28575,0,0,0,1
2020-10-30,Interior,93213,4742,0,0,0,1
2020-10-30,Vancouver Island,99103,6026,0,0,0,1
2020-10-30,Northern,29461,1394,0,0,0,1
2020-10-30,Vancouver Coastal,284014,20334,0,0,0,1
2020-11-06,Fraser,360262,28949,0,0,0,1
2020-11-06,Interior,98235,5022,0,0,0,1
2020-11-06,Vancouver Island,104463,5360,0,0,0,1
2020-11-06,Northern,30683,1222,0,0,0,1
2020-11-06,Vancouver Coastal,304769,20755,0,0,0,1
