Date,HA,NewCases,NewDeaths,NewRecoveries,BC_CDC_Reported_TotalCases,BC_CDC_Reported_TotalDeaths,BC_CDC_Reported_TotalRecoveries,Week,ActiveCases,BC_CDC_ReportedActiveCases,ThursdayReports,FridayReports,Notes
2020-07-09,Fraser,43,2,38,1596,79,1421,15,96,,1,0,
2020-07-09,Interior,0,0,0,201,2,196,15,3,,1,0,
2020-07-09,Vancouver Island,1,0,1,133,5,126,15,2,,1,0,
2020-07-09,Northern,0,0,0,65,0,65,15,0,,1,0,
2020-07-09,Vancouver Coastal,0,7,0,982,100,819,15,63,,1,0,
2020-07-16,Fraser,71,0,84,1667,79,1505,16,83,,1,0,
2020-07-16,Interior,22,0,4,223,2,200,16,21,,1,0,
2020-07-16,Vancouver Island,3,0,1,136,5,127,16,4,,1,0,
2020-07-16,Northern,0,0,0,65,0,65,16,0,,1,0,
2020-07-16,Vancouver Coastal,46,3,25,1028,103,844,16,81,,1,0,
2020-07-23,Fraser,83,0,43,1750,79,1548,17,123,,1,0,
2020-07-23,Interior,92,0,27,315,2,227,17,86,,1,0,
2020-07-23,Vancouver Island,6,0,1,142,5,128,17,9,,1,0,
2020-07-23,Northern,12,0,2,77,0,67,17,10,,1,0,
2020-07-23,Vancouver Coastal,23,1,35,1051,104,879,17,68,,1,0,
2020-07-30,Fraser,115,0,109,1865,79,1657,18,129,,1,0,
2020-07-30,Interior,45,0,83,360,2,310,18,48,,1,0,
2020-07-30,Vancouver Island,1,0,7,143,5,135,18,3,,1,0,
2020-07-30,Northern,9,0,7,86,0,74,18,12,,1,0,
2020-07-30,Vancouver Coastal,25,4,46,1076,108,925,18,43,,1,0,
2020-08-06,Fraser,180,0,86,2045,79,1743,19,223,,1,0,
2020-08-06,Interior,25,0,55,385,2,365,19,18,,1,0,
2020-08-06,Vancouver Island,3,0,2,146,5,137,19,4,,1,0,
2020-08-06,Northern,7,0,1,93,0,75,19,18,,1,0,
2020-08-06,Vancouver Coastal,67,1,11,1143,109,936,19,98,,1,0,
2020-08-13,Fraser,197,0,118,2242,79,1861,20,302,,1,0,
2020-08-13,Interior,13,0,18,398,2,383,20,13,,1,0,
2020-08-13,Vancouver Island,4,0,5,150,5,142,20,3,,1,0,
2020-08-13,Northern,13,0,15,106,0,90,20,16,,1,0,
2020-08-13,Vancouver Coastal,163,1,25,1306,110,961,20,235,,1,0,
2020-08-20,Fraser,291,4,204,2533,83,2065,21,385,382,1,0,
2020-08-20,Interior,13,0,11,411,2,394,21,15,15,1,0,
2020-08-20,Vancouver Island,9,0,3,159,5,145,21,9,9,1,0,
2020-08-20,Northern,15,0,16,121,0,106,21,15,15,1,0,
2020-08-20,Vancouver Coastal,220,0,106,1526,110,1067,21,349,349,1,0,
2020-08-27,Fraser,285,4,218,2818,87,2283,22,448,440,1,0,
2020-08-27,Interior,18,0,17,429,2,411,22,16,16,1,0,
2020-08-27,Vancouver Island,14,0,9,173,5,154,22,14,14,1,0,
2020-08-27,Northern,16,0,12,137,0,118,22,19,19,1,0,
2020-08-27,Vancouver Coastal,211,0,148,1737,110,1215,22,412,412,1,0,
2020-09-03,Fraser,337,6,236,3155,93,2519,23,543,532,1,0,
2020-09-03,Interior,21,0,16,450,2,427,23,21,21,1,0,
2020-09-03,Vancouver Island,5,0,11,178,5,165,23,8,8,1,0,
2020-09-03,Northern,30,0,5,167,0,123,23,44,44,1,0,
2020-09-03,Vancouver Coastal,275,0,119,2012,110,1334,23,568,568,1,0,
2020-09-10,Fraser,396,2,272,3551,95,2791,24,665,651,1,0,
2020-09-10,Interior,12,0,19,462,2,446,24,14,14,1,0,
2020-09-10,Vancouver Island,9,0,9,187,5,174,24,8,8,1,0,
2020-09-10,Northern,36,0,48,203,0,171,24,32,32,1,0,
2020-09-10,Vancouver Coastal,331,1,197,2343,111,1531,24,701,701,1,0,
2020-09-17,Fraser,386,4,315,3937,99,3106,25,732,714,1,0,
2020-09-17,Interior,27,0,18,489,2,464,25,23,23,1,0,
2020-09-17,Vancouver Island,9,0,6,196,5,180,25,11,11,1,0,
2020-09-17,Northern,38,1,36,241,1,207,25,33,33,1,0,
2020-09-17,Vancouver Coastal,371,2,154,2714,113,1685,25,916,916,1,0,
2020-09-24,Fraser,424,6,336,4361,105,3442,26,814,791,1,0,
2020-09-24,Interior,31,0,20,520,2,484,26,34,34,1,0,
2020-09-24,Vancouver Island,7,0,12,203,5,192,26,6,6,1,0,
2020-09-24,Northern,37,1,31,278,2,238,26,38,38,1,0,
2020-09-24,Vancouver Coastal,380,2,797,3094,115,2482,26,497,495,1,0,
2020-10-01,Fraser,351,3,356,4712,108,3798,27,806,783,1,0,
2020-10-01,Interior,15,0,32,535,2,516,27,17,17,1,0,
2020-10-01,Vancouver Island,6,1,7,209,6,199,27,4,4,1,0,
2020-10-01,Northern,39,0,42,317,2,280,27,35,35,1,0,
2020-10-01,Vancouver Coastal,266,2,340,3360,117,2822,27,421,416,1,0,
